38.17	232.33	1
38	237.25	1
37.7	241.5	1
39.3	244.2	1
40.33	227.5	1
42.21	234.57	1
42	240	1
43.21	245.64	1
44.17	223.67	1
44	228.75	1
46.33	219	1
46.33	231.67	1
46	237	1
46	241	1
47	246.88	1
48.33	225	1
49.21	213.29	1
50.3	218.8	1
50.33	230.33	1
50	235.5	1
50	239.5	1
50	243.5	1
51.3	207.6	1
51.3	247.1	1
52	203.25	1
52.1	223.6	1
53.3	199	1
53.3	211.8	1
53.9	217.4	1
53.9	229.4	1
54	233.75	1
54	237.75	1
54	241.75	1
55.21	191.71	1
55.17	197.33	1
55.33	207.5	1
55.21	247.29	1
56.33	221.33	1
56	226.25	1
57.21	185.57	1
57.33	202	1
57.33	214	1
58.33	230.83	1
58	236	1
58	240	1
58	244	1
59.33	179.67	1
59.33	191.67	1
59	196.75	1
59.33	207.67	1
59	247.5	1
60.3	174.6	1
60.21	219.43	1
60	225	1
61	185.25	1
61	201.25	1
61	213.25	1
62.33	170.5	1
62.21	230.86	1
62	236.25	1
62	239.38	1
60.5	242	1
63.3	164.6	1
63.3	180.6	1
63.3	188.6	1
63	193.25	1
63	197.25	1
63.3	204.6	1
63	209.25	1
63.17	292	1
63	296.38	1
64.3	160.8	1
64.3	176.8	1
64.33	217	1
64	222	1
64	226	1
64.17	286.33	1
65.3	155.8	1
65.5	185	1
65.5	201	1
65.5	212.25	1
66.17	170	1
66.3	230.4	1
66	235	1
65.7	239.4	1
66.33	281.83	1
67.3	152	1
67.17	192.33	1
67.17	197	1
67.3	208	1
66.9	243.5	1
67.3	276.6	1
67.17	293	1
67	297	1
68.21	162	1
68.17	167.33	1
68.33	174.33	1
68	179.5	1
68.21	218	1
68	223.5	1
68.17	227.33	1
68.17	271	1
68.3	287.4	1
69.33	147.17	1
69.5	155.2	1
69.17	184.17	1
69.17	188.67	1
69.33	199.83	1
69.17	204.67	1
69.5	211.2	1
69.21	247.71	1
68.7	253.5	1
68.9	261	1
69	265.5	1
70.1	231.4	1
70	236	1
70	240	1
70.1	282.6	1
71.33	192.67	1
71.33	256.67	1
71.33	276.67	1
71.33	292.67	1
71	297.5	1
72.21	161	1
72	166.5	1
72	170.5	1
72	174.5	1
72	178.5	1
72.21	217	1
72	222.5	1
72	226.5	1
72.21	269	1
72	274.5	1
72.3	288.4	1
73	143	1
73	148	1
73	152	1
73.17	155.33	1
72.9	183.6	1
73.17	187.33	1
73	199	1
73	204	1
73	208	1
73.17	211.33	1
73	243	1
73	248	1
73.17	251.33	1
73.1	262.4	1
74.1	230	1
74	234.75	1
74.17	238.33	1
74	281.67	1
75.21	192	1
75.21	256	1
75	296.31	1
76.21	139	1
76.21	159	1
76	164.5	1
76	168.5	1
76	172.5	1
76	176.5	1
76	180.5	1
76.21	215	1
76	220.5	1
76	224.5	1
76.21	267	1
76	272.5	1
76	276.5	1
76.21	287	1
76	291.5	1
77.21	146.29	1
77	151.75	1
77	155	1
77.33	185.83	1
77.21	198.29	1
77	203.75	1
77	207.75	1
77	211	1
77.21	242.29	1
77	247.75	1
77.17	251.33	1
77.3	261.4	1
78.21	229.57	1
78	235	1
78	238	1
78.33	281.17	1
78	299	1
79.33	192.33	1
79.33	256.33	1
79.3	295.8	1
80.21	136.29	1
80	141.75	1
80.21	160.29	1
80	165.75	1
80	169.75	1
80	173.75	1
80	177.75	1
80	181.75	1
80.21	216.29	1
80	221.75	1
80.17	225.33	1
80.21	268.29	1
80	273.75	1
80.17	277.33	1
80.21	288.29	1
80	293	1
81.21	147.57	1
81	153	1
81	156	1
81.33	187.17	1
81.21	199.57	1
81	205	1
81	209	1
81	212	1
81.21	243.57	1
81	249	1
81.17	252.67	1
81.3	262.6	1
82.33	230.67	1
82	235.5	1
81.83	239	1
82.33	282.67	1
83.33	194.17	1
83.33	258.17	1
83.21	298.07	1
84.33	133.67	1
84	138.5	1
84	142.5	1
84.33	161.67	1
84	166.5	1
84	170.5	1
84	174.5	1
84	178.5	1
84	182.5	1
84.33	217.67	1
84	222.5	1
84	226.5	1
84.33	269.67	1
84	274.5	1
84	278.5	1
84.33	289.67	1
83.83	294	1
85.3	146.2	1
85	151	1
85	155	1
85	158	1
85.3	186.2	1
85.17	190.67	1
85.21	201.57	1
85	207	1
85	211	1
85	214	1
85.21	245.57	1
85	251	1
85.17	254.67	1
85.3	264.6	1
86.33	232.33	1
86	237.25	1
85.83	240.67	1
86.33	284.33	1
87.33	195.5	1
87.33	259.5	1
87.33	299	1
88.21	131	1
88	136.5	1
88	140.5	1
88.21	163	1
88	168.5	1
88	172.5	1
88	176.5	1
88	180.5	1
88.21	219	1
88	224.5	1
88.17	228	1
88.21	271	1
88	276.5	1
88.17	280	1
88.21	291	1
88	295.5	1
89.21	146.29	1
89	151.75	1
89	155.75	1
89	159	1
89.21	186.29	1
89.17	191.33	1
89.21	202.29	1
89	207.75	1
89	211.75	1
89	215	1
89.21	246.29	1
89	251.75	1
89.17	255.33	1
89.3	265.4	1
90.21	233.57	1
90	239	1
90	242	1
90.33	285.17	1
91.21	92	1
91	97.5	1
91	101.5	1
91.33	196.33	1
91.33	260.33	1
91.3	299.3	1
92	84.67	1
92.3	104.1	1
92.21	128.29	1
92	133.75	1
92	137.75	1
92	141.75	1
92.21	164.29	1
92	169.75	1
92	173.75	1
92	177.75	1
92	181.75	1
92.21	220.29	1
92	225.75	1
92.17	229.33	1
92.21	272.29	1
92	277.75	1
92.17	281.33	1
92.21	292.29	1
92	297	1
93.21	147.57	1
93	153	1
93	157	1
93	160	1
93.21	187.57	1
93.17	192.67	1
93.21	203.57	1
93	209	1
93	213	1
93	216	1
93.21	247.57	1
93	253	1
93.17	256.67	1
93.3	266.6	1
94.33	234.33	1
94	239.25	1
93.83	242.67	1
94.33	286.33	1
95	81	1
