20	17		
21	18.5		
22.17	17		
24	15		
24	17		
24	18.5		
25	13		
26	15		
26	17		
26	18.5		
27	13		
28	15		
28	17		
28	18.5		
29	11		
29	13		
30	9		
30	15		
30	17		
30	18.5		
31	11		
31	13		
32.17	7		
32	9.5		
32.17	15		
32	17.5		
31.5	18.5		
33.17	12		
34	5		
34	7		
34	9		
34	15		
34	17		
34	18.5		
34.17	61		
34	63.5		
34	65.5		
34	67.5		
34	69.5		
34	71.5		
34	73.5		
34	75.5		
34	77.5		
34	79.5		
34	81.5		
34	83.5		
34	85.5		
35	11		
35	13		
36	5		
36	7		
36	9		
36	15		
36	17		
36	19		
36	56		
36	58		
36	60		
36	62		
36	64		
36	66		
36	68		
36	70		
36	72		
36	74		
36	76		
36	78		
36	80		
36	82		
36	84		
36	86		
36	88		
36	89.75		
37	11		
37	13		
37.17	52		
37	54.5		
37.17	92		
36.5	93.5		
38	5		
38	7		
38	9		
38	15		
38	17		
38	19		
38	49		
38	57		
38	59		
38	61		
38	63		
38	65		
38	67		
38	69		
38	71		
38	73		
38	75		
38	77		
38	79		
38	81		
38	83		
38	85		
38	87		
38	89		
39	11		
39	13		
39	47		
39	51		
39	53		
39	55		
39	91		
39	93		
39	95		
39	96.75		
40	5		
40	7		
40	9		
40	15		
40	17		
40	19		
40	43		
40	45		
40	49		
40	57		
40	59		
40	61		
40	63		
40	65		
40	67		
40	69		
40	71		
40	73		
40	75		
40	77		
40	79		
40	81		
40	83		
40	85		
40	87		
40	89		
40	98.75		
41	11		
41	13		
41	20.5		
41.17	39		
41	41.5		
41.17	47		
41.17	51		
41	53.5		
41	55.5		
41.17	91		
41	93.5		
41	95.5		
41	97.5		
42	5		
42	7		
42	9		
42	15		
42	17		
42	19		
42.17	36		
42.17	44		
42.17	58		
42	60.5		
42	62.5		
42	64.5		
42	66.5		
42	68.5		
42	70.5		
42	72.5		
42	74.5		
42	76.5		
42	78.5		
42	80.5		
42	82.5		
42	84.5		
42	86.5		
42	88.5		
42.17	100		
41.5	101.5		
43	11		
43	13		
43	21		
43	23		
43	25		
43	27		
43	29		
43	31		
43	33		
43	39		
43	41		
43	47		
43	49		
43	51		
43	53		
43	55		
43	91		
43	93		
43	95		
43	97		
44	7		
44	9		
44	15		
44	17		
44	19		
44	35		
44	37		
44	43		
44	45		
44	57		
44	59		
44	61		
44	63		
44	65		
44	67		
44	69		
44	71		
44	73		
44	75		
44	77		
44	79		
44	81		
44	83		
44	85		
44	87		
44	89		
44	99		
44	101		
44	103		
44	104.75		
45.17	11		
45	13.5		
45.17	21		
45	23.5		
45	25.5		
45	27.5		
45	29.5		
45	31.5		
45	33.5		
45.17	39		
45	41.5		
45.17	47		
45	49.5		
45	51.5		
45	53.5		
45	55.5		
45.17	91		
45	93.5		
45	95.5		
45	97.5		
46	8		
46	16		
46	18		
46	36		
46	44		
46	58		
46	60		
46	62		
46	64		
46	66		
46	68		
46	70		
46	72		
46	74		
46	76		
46	78		
46	80		
46	82		
46	84		
46	86		
46	88		
46	100		
46	102		
46	104		
46	105.75		
47.17	10		
47	12.5		
47	14.5		
47.17	20		
47	22.5		
47	24.5		
47	26.5		
47	28.5		
47	30.5		
47	32.5		
47	34.5		
47.17	38		
47	40.5		
47	42.5		
47.17	46		
47	48.5		
47	50.5		
47	52.5		
47	54.5		
47	56.5		
47.17	90		
47	92.5		
47	94.5		
47	96.5		
47	98.5		
48	17		
48	59		
48	61		
48	63		
48	65		
48	67		
48	69		
48	71		
48	73		
48	75		
48	77		
48	79		
48	81		
48	83		
48	85		
48	87		
48	101		
48	103		
48	105		
48	107		
49	11.5		
49	13.5		
49	15.5		
49.17	19		
49	21.5		
49	23.5		
49	25.5		
49	27.5		
49	29.5		
49	31.5		
49	33.5		
49	35.5		
49	37.5		
49	39.5		
49	41.5		
49	43.5		
49	45.5		
49	47.5		
49	49.5		
49	51.5		
49	53.5		
49	55.5		
49	57.5		
49.17	89		
49	91.5		
49	93.5		
49	95.5		
49	97.5		
49	99.5		
49.17	108.67		
50	60		
50	62		
50	64		
50	66		
50	68		
50	70		
50	72		
50	74		
50	76		
50	78		
50	80		
50	82		
50	84		
50	86		
50	102		
50	104		
50	106		
50.5	14		
50.5	16		
50.5	18		
51	20.5		
51	22.5		
51	24.5		
51	26.5		
51	28.5		
51	30.5		
51	32.5		
51	34.5		
51	36.25		
50.5	38		
50.5	40		
50.5	42		
50.5	44		
50.5	46		
50.5	48		
50.5	50		
50.5	52		
50.5	54		
50.5	56		
51	58.5		
51.17	88		
51	90.5		
51	92.5		
51	94.5		
51	96.5		
51	98.5		
51	100.5		
51.17	108		
50.5	109.5		
51	138		
51	139.75		
52.17	61		
52	63.5		
52	65.5		
52	67.5		
52	69.5		
52	71.5		
52	73.5		
52	75.5		
52	77.5		
52	79.5		
52	81.5		
52	83.5		
52	85.5		
52.17	103		
52	105.5		
53.17	88		
53	90.5		
53	92.5		
53	94.5		
53	96.5		
53	98.5		
53	100.5		
53.17	108		
53	110.25		
53	138		
53	139.75		
53.5	61		
54	63		
54	65		
54	67		
54	69		
54	71		
54	73		
54	75		
54	77		
54	79		
54	81		
54	83		
54	85		
54	103		
54	105		
55.17	87		
55	89.5		
55	91.5		
55	93.5		
55	95.5		
55	97.5		
